Mesto,Časť_mesta,Ulica,Súp._č.,Orient._č.,Popis,Rok_dokonč.,Vyrad.,Adresa,PSČ,Obývateľná,Mestská_oblasť,Index_domu,Kult._pam.,Mest._pam._rezervácia,Názov_pamiatky,Číslo_v_ústred._zozn._kult._pam.,Dátum_účinnosti_adresy_od,Typ_pamiatky,ID_druhu_stavby_podľa_katastra_nehnuteľností
Prešov,Prešov,Hlavná, 2941 , 141      ,kostol - konkatedrála sv. Mikuláša,,Nie,Hlavná 2941/141,08001,Nie,Obvod IV. - stred mesta,25540889,Áno,Áno,Kostol rím. kat. sv. Mikuláša,3301/1,,kostol,17
Prešov,Prešov,Hlavná, 2871 ,   1A     ,gréckokatolícky katedrálny chrám sv. Jána Krstiteľa,1300,Nie,Hlavná 2871/1A,08001,Nie,Obvod IV. - stred mesta,25540064,Nie,Nie,,,,,17
Prešov,Prešov,Hlavná, 2942 , 143      ,evanjelický a. v. chrám sv. Trojice,,Nie,Hlavná 2942/143,08001,Nie,Obvod IV. - stred mesta,2554089A,Nie,Nie,,,,,17
Prešov,Prešov,Jarková, 3123 , 103      ,"ortodoxná židovská synagóga
",,Nie,Jarková 3123/103,08001,Áno,Obvod IV. - stred mesta,25542561,Áno,Nie,Synagóga ortodoxná,3350/0,,synagóga,17
Prešov,Prešov,Metodova, 3346 ,  19      ,vodárenska veža - WATER TOWN,1972,Nie,Metodova 3346/19,08001,Nie,Obvod IV. - stred mesta,25545366,Nie,Nie,,,,,22
Prešov,Prešov,Jarková,13090 ,  28A     ,Caraffova väznica,1509,Nie,Jarková 13090/28A,08001,Nie,Obvod IV. - stred mesta,7000668950,Áno,Áno,Caraffova väznica,1440/2,,väznica,16
Prešov,Prešov,Hlavná, 2907 ,  73      ,"radnica, administratívna budova",1887,Nie,Hlavná 2907/73,08001,Áno,Obvod IV. - stred mesta,25541186,Áno,Áno,Mestská radnica,1440/1,,radnica,15
Prešov,Prešov,Hlavná, 2953 ,  22      ,palác Klobušických,,Nie,Hlavná 2953/22,08001,Áno,Obvod IV. - stred mesta,25541659,Áno,Nie,Dom meštiansky,3194/0,,meštiansky dom,
Prešov,Prešov,Hlavná, 2985 ,  86      ,Rákocziho palác - meštiansky dom,,Nie,Hlavná 2985/86,08001,Nie,Obvod IV. - stred mesta,25541329,Áno,Nie,Dom meštiansky,3256/0,,meštiansky dom,
Prešov,Prešov,Levočská, 6114 ,   1      ,"Bosáková banka, knižnica P.O.Hviezdoslava",1924,Nie,Levočská 6114/1,08001,Nie,Obvod IV. - stred mesta,25582117,Áno,Nie,Banka - Bosáková banka,3331/0,,banka,11
Prešov,Prešov,Hlavná, 2940 , 139      ,"stará mestská škola, bývalá knižnica P.O.Hviezdoslava",1900,Nie,Hlavná 2940/139,08001,Nie,Obvod IV. - stred mesta,25540878,Nie,Nie,,,,,15
Prešov,Prešov,Hlavná, 6395 ,  50A     ,"kultúrna budova - PKO, Čierny orol",1890,Nie,Hlavná 6395/50A,08001,Nie,Obvod IV. - stred mesta,25584955,Áno,Nie,Dvorana divadelná pamätná,2063/1,,divadlo,16
Prešov,Prešov,Slovenská, 3279 ,  40      ,historická budova - Župný dom,1780,Nie,Slovenská 3279/40,08001,Nie,Obvod IV. - stred mesta,25544662,Nie,Nie,,,,,
Prešov,Prešov,Františkánske námestie, 3239 ,   2      ,františkánsky kostol sv. Jozefa,1900,Nie,Františkánske námestie 3239/2,08001,Nie,Obvod IV. - stred mesta,2554364A,Nie,Nie,,,,,
Prešov,Prešov,Hlavná, 2870 ,   1      ,"gréckokatolícky biskupský palác, rezidencia",1300,Nie,Hlavná 2870/1,08001,Áno,Obvod IV. - stred mesta,25540053,Nie,Nie,,,,,
Prešov,Prešov,Hlavná, 2982 ,  80      ,dom meštiansky pamätný,,Nie,Hlavná 2982/80,08001,Áno,Obvod IV. - stred mesta,25541296,Áno,Áno,Dom meštiansky pamätný,11078/1,,meštiansky dom,22
Prešov,Prešov,Hlavná, 2939 , 137      ,budova evanjelického Kolégia,,Nie,Hlavná 2939/137,08001,Áno,Obvod IV. - stred mesta,25540856,Áno,Áno,Evanjelické kolégium,1449/1,,kolégium,15
